t,n
0.0,0.0
0.1,0.032973393561661055
0.2,0.06365325365800821
0.3,0.09225387284361043
0.4,0.11896879555740339
0.5,0.14397108823897775
0.6,0.16741432522827673
0.7,0.1894388055963071
0.8,0.21017640913089766
0.9,0.22972733756490474
1.0,0.24819540999429118
1.1,0.26568853375460827
1.2,0.28225761272044847
1.3,0.29801449510513267
1.4,0.31298683112199627
1.5,0.32726604680370186
1.6,0.3408993315459857
1.7,0.35390382323249747
1.8,0.36637873769716456
1.9,0.3783316108566395
2.0,0.38977463650530525
2.1,0.40079697588612634
2.2,0.4114055231253359
2.3,0.4215955040914394
2.4,0.4314190690548797
2.5,0.44092021472689713
2.6,0.4500989411074917
2.7,0.4589537921569685
2.8,0.4675002479778665
2.9,0.475798802777036
3.0,0.4838494565544771
3.1,0.4916522093101897
3.2,0.49920706104417395
3.3,0.5065135773977767
3.4,0.5136287861987341
3.5,0.520555012011288
3.6,0.5272922548354383
3.7,0.5338405146711852
3.8,0.5401997915185286
3.9,0.5463625970775432
4.0,0.5523675988719872
4.1,0.5582290980977509
4.2,0.5639470947548345
4.3,0.5695215888432379
4.4,0.5749525803629612
4.5,0.5802400693140041
4.6,0.5853840556963668
4.7,0.5903765378617083
4.8,0.595254045730932
4.9,0.6000225791255462
5.0,0.6046821380455512
5.1,0.6092327224909466
5.2,0.6136743324617326
5.3,0.6180069679579093
5.4,0.6222306289794766
5.5,0.6263453155264344
5.6,0.6303443994102632
5.7,0.6342444226667348
5.8,0.6380618302758788
5.9,0.6417966222376956
6.0,0.6454487985521848
6.1,0.6490183592193469
6.2,0.6525053042391815
6.3,0.6559096336116887
6.4,0.6592313473368686
6.5,0.6624704454147211
6.6,0.6656269278452462
6.7,0.6686924354479271
6.8,0.6716881039775133
6.9,0.6746219922200654
7.0,0.677494100175583
7.1,0.6803044278440664
7.2,0.6830529752255157
7.3,0.6857397423199306
7.4,0.6883647291273113
7.5,0.6909279356476578
7.6,0.6934293618809699
7.7,0.6958690078272478
7.8,0.6982468734864914
7.9,0.7005584062767425
8.0,0.7028078602112693
8.1,0.7050124182119213
8.2,0.7071720802786985
8.3,0.7092868464116012
8.4,0.7113567166106292
8.5,0.7133816908757822
8.6,0.7153617692070606
8.7,0.7172969516044643
8.8,0.7191872380679933
8.9,0.7210326285976475
9.0,0.7228331231934271
9.1,0.7245887218553317
9.2,0.7262994245833618
9.3,0.7279627726945548
9.4,0.7295759947537155
9.5,0.7311579161826092
9.6,0.7327085369812356
9.7,0.7342278571495953
9.8,0.7357158766876877
9.9,0.7371725955955128
10.0,0.738598013873071
10.1,0.7399921315203623
10.2,0.7413549485373863
10.3,0.7426864649241431
10.4,0.743986680680633
10.5,0.7452555958068559
10.6,0.7464932103028115
10.7,0.7476995241685
10.8,0.7488745374039215
10.9,0.750018250009076
11.0,0.7511217462135943
11.1,0.7522031945849088
11.2,0.753263953643609
11.3,0.7543040233896947
11.4,0.755323403823166
11.5,0.756322094944023
11.6,0.7573000967522655
11.7,0.7582574092478936
11.8,0.7591940324309074
11.9,0.7601099663013067
12.0,0.7610052108590916
12.1,0.761879766104262
12.2,0.7627336320368181
12.3,0.7635668086567597
12.4,0.764379295964087
12.5,0.7651710939587999
12.6,0.7659422026408984
12.7,0.7666926220103824
12.8,0.767420531916111
12.9,0.7681224167225349
13.0,0.7688115105657807
13.1,0.7694878134458482
13.2,0.7701513253627374
13.3,0.7708020463164487
13.4,0.7714399763069817
13.5,0.7720651153343365
13.6,0.7726774633985133
13.7,0.7732770204995119
13.8,0.7738637866373321
13.9,0.7744377618119744
14.0,0.7749989460234383
14.1,0.7755473392717243
14.2,0.7760829415568319
14.3,0.7766057528787614
14.4,0.7771157732375128
14.5,0.777613002633086
14.6,0.778097441065481
14.7,0.7785690885346979
14.8,0.7790279450407365
14.9,0.779474010583597
15.0,0.7799058426275368
15.1,0.7803236975512462
15.2,0.780733787002444
15.3,0.7811361109811301
15.4,0.7815306694873048
15.5,0.7819174625209677
15.6,0.7822964900821191
15.7,0.7826677521707588
15.8,0.7830312487868871
15.9,0.7833869799305035
16.0,0.7837349456016086
16.1,0.784075145800202
16.2,0.7844075805262838
16.3,0.784732249779854
16.4,0.7850491535609125
16.5,0.7853582918694596
16.6,0.785659664705495
16.7,0.7859532720690188
16.8,0.786239113960031
16.9,0.7865171903785315
17.0,0.7867875013245207
