t,strong_proportion,std
0.0,2.2992682137774483e-6,0.0
0.1,3.022507987266787e-6,0.0
0.2,3.954898564840581e-6,0.0
0.3,5.1514730122753125e-6,0.0
0.4,6.680256337923979e-6,0.0
0.5,8.624962229329135e-6,0.0
0.6,1.1088166629301772e-5,0.0
0.7,1.4195025999049609e-5,0.0
0.8,1.809761491544701e-5,0.0
0.9,2.2979964700114776e-5,0.0
1.0,2.9063892026123326e-5,0.0
1.1,3.661571383029286e-5,0.0
1.2,4.595395230095964e-5,0.0
1.3,5.745814112686588e-5,0.0
1.4,7.157885148406532e-5,0.0
1.5,8.884906329200765e-5,0.0
1.6,0.00010989701395913,0.0
1.7,0.0001354606630162473,0.0
1.8,0.00016640391653579726,0.0
1.9,0.0002037347598651349,0.0
2.0,0.00024862545074217924,0.0
2.1,0.00030243492705705723,0.0
2.2,0.0003667335840784107,0.0
2.3,0.0004433305745336922,0.0
2.4,0.0005343037811179905,0.0
2.5,0.0006420326043374108,0.0
2.6,0.0007692336985246846,0.0
2.7,0.0009189997747605314,0.0
2.8,0.0010948415705563758,0.0
2.9,0.0013007330616499164,0.0
3.0,0.0015411599601559075,0.0
3.1,0.001821171504485329,0.0
3.2,0.0021464354986372716,0.0
3.3,0.0025232965002729424,0.0
3.4,0.00295883698684967,0.0
3.5,0.0034609412453417395,0.0
3.6,0.004038361631914875,0.0
3.7,0.0047007867314938475,0.0
3.8,0.005458910811603298,0.0
3.9,0.006324503808384734,0.0
4.0,0.007310480903704519,0.0
4.1,0.008430970549528455,0.0
4.2,0.009701379568547648,0.0
4.3,0.01113845370849224,0.0
4.4,0.012760331752843516,0.0
4.5,0.014586590995369584,0.0
4.6,0.01663828157453234,0.0
4.7,0.01893794684310092,0.0
4.8,0.02150962662779663,0.0
4.9,0.024378839926282668,0.0
5.0,0.027572543310804533,0.0
5.1,0.031119061079876432,0.0
5.2,0.03504798304645569,0.0
5.3,0.039390025802173885,0.0
5.4,0.044176853385361085,0.0
5.5,0.04944085354176719,0.0
5.6,0.05521486623855862,0.0
5.7,0.061531861811247215,0.0
5.8,0.06842456712307232,0.0
5.9,0.075925039423153,0.0
6.0,0.08406418921791069,0.0
6.1,0.0928712554176385,0.0
6.2,0.10237323826260118,0.0
6.3,0.11259429801989003,0.0
6.4,0.12355513009198792,0.0
6.5,0.13527232987632073,0.0
6.6,0.14775776331545978,0.0
6.7,0.16101796140513405,0.0
6.8,0.1750535587866985,0.0
6.9,0.18985879773917505,0.0
7.0,0.20542111920919612,0.0
7.1,0.22172086180928235,0.0
7.2,0.23873108785945643,0.0
7.3,0.25641755249751036,0.0
7.4,0.2747388276786326,0.0
7.5,0.2936465876607405,0.0
7.6,0.3130860565595891,0.0
7.7,0.3329966120758014,0.0
7.8,0.35331253292835646,0.0
7.9,0.3739638712947401,0.0
8.0,0.394877426073878,0.0
8.1,0.4159777884296947,0.0
8.2,0.4371884281380259,0.0
8.3,0.4584327879376468,0.0
8.4,0.47963535344192815,0.0
8.5,0.5007226681362897,0.0
8.6,0.5216242663834966,0.0
8.7,0.5422735019017942,0.0
8.8,0.5626082545210263,0.0
8.9,0.5825715037794251,0.0
9.0,0.6021117637234625,0.0
9.1,0.6211833787755273,0.0
9.2,0.6397466854598338,0.0
9.3,0.657768048921177,0.0
9.4,0.6752197864099575,0.0
9.5,0.6920799921941663,0.0
9.6,0.7083322797170233,0.0
9.7,0.7239654573248833,0.0
9.8,0.7389731536597597,0.0
9.9,0.7533534079832996,0.0
10.0,0.7671082394216135,0.0
10.1,0.7802432075368685,0.0
10.2,0.7927669748734809,0.0
10.3,0.8046908803072398,0.0
10.4,0.8160285302366864,0.0
10.5,0.8267954129674745,0.0
10.6,0.8370085401011789,0.0
10.7,0.846686117380424,0.0
10.8,0.8558472462767563,0.0
10.9,0.8645116566383828,0.0
11.0,0.8726994699342173,0.0
11.1,0.8804309920245998,0.0
11.2,0.8877265339393767,0.0
11.3,0.8946062588304984,0.0
11.4,0.9010900530680673,0.0
11.5,0.9071974193456702,0.0
11.6,0.9129473896339911,0.0
11.7,0.9183584558542057,0.0
11.8,0.9234485162196261,0.0
11.9,0.9282348353028218,0.0
12.0,0.9327340160154448,0.0
12.1,0.9369619818305994,0.0
12.2,0.9409339677260184,0.0
12.3,0.9446645184752396,0.0
12.4,0.948167493059463,0.0
12.5,0.9514560741119807,0.0
12.6,0.9545427814380312,0.0
12.7,0.9574394887744737,0.0
12.8,0.960157443065138,0.0
12.9,0.9627072856288774,0.0
13.0,0.9650990746884011,0.0
13.1,0.9673423088091969,0.0
13.2,0.9694459508698591,0.0
13.3,0.9714184522484732,0.0
13.4,0.9732677769651216,0.0
13.5,0.9750014255687155,0.0
13.6,0.9766264585979749,0.0
13.7,0.9781495194821144,0.0
13.8,0.9795768567773182,0.0
13.9,0.9809143456610024,0.0
14.0,0.9821675086277164,0.0
14.1,0.9833415353488493,0.0
14.2,0.9844413016735397,0.0
14.3,0.985471387760744,0.0
14.4,0.9864360953426858,0.0
14.5,0.9873394641281997,0.0
14.6,0.988185287361091,0.0
14.7,0.988977126553818,0.0
14.8,0.9897183254207721,0.0
14.9,0.9904120230383956,0.0
15.0,0.9910611662614809,0.0
15.1,0.991668521426404,0.0
15.2,0.9922366853728662,0.0
15.3,0.992768095816068,0.0
15.4,0.9932650411011957,0.0
15.5,0.9937296693717573,0.0
15.6,0.994163997182713,0.0
15.7,0.9945699175885525,0.0
15.8,0.9949492077355613,0.0
15.9,0.9953035359864663,0.0
16.0,0.9956344686045558,0.0
16.1,0.9959434760232079,0.0
16.2,0.996231938725575,0.0
16.3,0.9965011527579877,0.0
16.4,0.9967523348994419,0.0
16.5,0.9969866275083707,0.0
16.6,0.9972051030667471,0.0
16.7,0.9974087684404491,0.0
