F,k₋f,k₋s,ka,k₋a
3.5,8.529814964182805,0.07026877145328102,0.76387517854699,3.4933482697042693
3.6,8.529814964312456,0.07116924460528111,0.7713032275502688,3.4274495953484014
3.7,8.529814964442107,0.07208125704963969,0.7788035081347597,3.3627940364641624
3.8,8.529814964571756,0.07300495665891452,0.7863767226923454,3.2993581428669954
3.9,8.529814964701409,0.07394049320060557,0.7940235804450838,3.237118906737648
4.0,8.529814964831058,0.07488801836143832,0.801744797511626,3.1760537542773726
4.1,8.52981496496071,0.07584768577195793,0.8095410969742793,3.1161405375205513
4.2,8.52981496509036,0.07681965103143874,0.817413208946724,3.0573575263017556
4.3,8.52981496522001,0.07780407173311299,0.8253618706423861,2.9996834003743458
4.4,8.529814965349662,0.07880110748972269,0.8333878264434783,2.9430972416777474
4.5,8.52981496547931,0.07981091995939915,0.8414918279707085,2.8875785267505942
4.6,8.529814965608963,0.08083367287187389,0.84967463415367,2.833107119286991
4.7,8.529814965738613,0.08186953205502576,0.8579370113019127,2.7796632628331968
4.8,8.529814965868264,0.08291866546176782,0.866279733176708,2.727227573622077
4.9,8.529814965997915,0.08398124319727926,0.8747035810635104,2.6757810335427274
5.0,8.529814966127566,0.08505743754658589,0.8832093438451236,2.625304983242719
5.1,8.529814966257216,0.08614742300249424,0.891797818075579,2.575781115360461
5.2,8.529814966386867,0.08725137629388365,0.9004698080547311,2.527191467885231
5.3,8.529814966516517,0.08836947641436084,0.9092261259035799,2.479518417642463
5.4,8.52981496664617,0.08950190465128174,0.9180675916403248,2.4327446739019254
5.5,8.529814966775819,0.09064884461514511,0.926995033257158,2.386853272106476
5.6,8.52981496690547,0.09181048226936304,0.9360092867978059,2.341827567719121
5.7,8.52981496703512,0.09298700596041275,0.9451111964358221,2.2976512301861383
5.8,8.52981496716477,0.0941786064483748,0.9543016145536439,2.254308237014085
5.9,8.529814967294422,0.09538547693786281,0.9635814018224178,2.211782867958534
6.0,8.529814967424072,0.09660781310934936,0.9729514272825978,2.170059699322437
6.1,8.529814967553724,0.09784581315089341,0.9824125684253331,2.1291235983620407
6.2,8.529814967683373,0.09909967779027413,0.9919657112746414,2.0889597177983275
6.3,8.529814967813026,0.10036961032753688,1.0016117504703854,2.0495534904320043
6.4,8.529814967942675,0.1016558166679558,1.0113515893520546,2.010890623860059
6.5,8.529814968072326,0.10295850535541914,1.0211861400433608,1.9729570952919953
6.6,8.529814968201977,0.10427788760624233,1.0311163235376586,1.935739146463849
6.7,8.529814968331626,0.10561417734341433,1.041143069784195,1.8992232786481482
6.8,8.52981496846128,0.10696759123128272,1.0512673177751977,1.8633962477580064
6.9,8.529814968590928,0.10833834871068347,1.0614900156338103,1.8282450595435695
7.0,8.52981496872058,0.10972667203452094,1.0718121207028835,1.7937569648790814
7.1,8.52981496885023,0.11113278630380335,1.0822345996346288,1.7599194551388506
7.2,8.529814968979881,0.11255691950414075,1.092758428481144,1.726720257660447
7.3,8.529814969109532,0.11399930254271001,1.1033845927858197,1.6941473312934805
7.4,8.529814969239183,0.11546016928569407,1.114114087675634,1.6621888620323482
7.5,8.529814969368832,0.11693975659620048,1.1249479179543445,1.6308332587313656
7.6,8.529814969498485,0.11843830437266636,1.1358870981965878,1.6000691489007257
7.7,8.529814969628134,0.11995605558775493,1.1469326528428925,1.5698853745817671
7.8,8.529814969757785,0.1214932563277511,1.1580856162956163,1.5402709883000458
7.9,8.529814969887436,0.12305015583246126,1.169347033015818,1.5112152490947561
