t,fit,std
93,1.2881048460908305e-5,5.150428510972078e-6
94,1.2881014836854006e-5,5.150415052172891e-6
95,1.2880985309673551e-5,5.150403234513491e-6
96,1.2880959380189324e-5,5.150392857766498e-6
97,1.2880936610045276e-5,5.150383746155926e-6
98,1.2880916614296216e-5,5.150375745366598e-6
99,1.2880899054900027e-5,5.15036871992026e-6
100,1.2880883635002851e-5,5.150362550873274e-6
101,1.2880870093920553e-5,5.150357133796281e-6
102,1.2880858202731675e-5,5.150352377001219e-6
103,1.2880847760407356e-5,5.150348199985288e-6
104,1.2880838590412814e-5,5.150344532065259e-6
105,1.2880830537722877e-5,5.150341311178762e-6
106,1.28808234662012e-5,5.15033848283211e-6
107,1.2880817256298762e-5,5.1503359991766795e-6
108,1.288081180303283e-5,5.15033381819814e-6
109,1.2880807014212133e-5,5.150331903004683e-6
110,1.2880802808878302e-5,5.150330221202181e-6
111,1.2880799115937243e-5,5.150328744345621e-6
112,1.2880795872957195e-5,5.150327447457476e-6
113,1.2880793025113324e-5,5.150326308604887e-6
114,1.2880790524260832e-5,5.150325308528393e-6
115,1.2880788328121064e-5,5.150324430315992e-6
116,1.2880786399566745e-5,5.150323659116946e-6
117,1.2880784705994311e-5,5.150322981890482e-6
118,1.288078321877274e-5,5.150322387185169e-6
119,1.288078191275951e-5,5.150321864945166e-6
120,1.2880780765875562e-5,5.150321406340127e-6
