,Force (pN),,,,,,,,,,,,,
t (s),0,3,6,9,12,15,18,21,24,27,30,33,36,39
0.75,0.265472337,0.531775055,0.762130582,0.88980418,0.950463209,0.977917736,0.990149206,0.995578785,0.997993576,0.999072234,0.999553396,0.999748553,0.999684336,0.998131668
0.76,0.265472337,0.531775075,0.762130648,0.889804249,0.950463281,0.977917822,0.990149319,0.995578954,0.997993863,0.999072817,0.99955486,0.999753396,0.999706609,0.998276594
0.77,0.265472337,0.531775092,0.762130702,0.889804305,0.950463341,0.977917892,0.990149412,0.995579093,0.997994103,0.999073306,0.99955611,0.999757602,0.999726437,0.998409859
0.78,0.265472337,0.531775106,0.762130746,0.889804352,0.950463389,0.977917949,0.990149489,0.995579208,0.997994302,0.999073718,0.999557175,0.999761255,0.999744088,0.998532399
0.79,0.265472337,0.531775117,0.762130782,0.889804389,0.950463428,0.977917996,0.990149551,0.995579302,0.997994467,0.999074064,0.999558083,0.999764429,0.999759801,0.998645077
0.8,0.265472337,0.531775126,0.762130811,0.88980442,0.950463461,0.977918034,0.990149603,0.995579381,0.997994605,0.999074355,0.999558857,0.999767186,0.999773789,0.998748688
0.81,0.265472337,0.531775133,0.762130836,0.889804445,0.950463487,0.977918065,0.990149645,0.995579445,0.99799472,0.9990746,0.999559517,0.999769581,0.999786242,0.998843959
0.82,0.265472337,0.531775139,0.762130856,0.889804466,0.950463508,0.977918091,0.990149679,0.995579498,0.997994815,0.999074806,0.99956008,0.999771661,0.999797327,0.998931563
0.83,0.265472337,0.531775144,0.762130872,0.889804483,0.950463526,0.977918112,0.990149708,0.995579542,0.997994895,0.999074979,0.99956056,0.999773468,0.999807195,0.999012115
0.84,0.265472337,0.531775148,0.762130886,0.889804496,0.95046354,0.977918129,0.990149731,0.995579579,0.997994961,0.999075124,0.99956097,0.999775038,0.99981598,0.999086184
0.85,0.265472337,0.531775152,0.762130897,0.889804508,0.950463552,0.977918143,0.99014975,0.995579609,0.997995015,0.999075246,0.999561319,0.999776401,0.9998238,0.99915429
0.86,0.265472337,0.531775154,0.762130906,0.889804517,0.950463561,0.977918154,0.990149766,0.995579633,0.997995061,0.999075349,0.999561616,0.999777586,0.999830762,0.999216915
0.87,0.265472337,0.531775156,0.762130913,0.889804524,0.950463569,0.977918164,0.990149779,0.995579654,0.997995099,0.999075436,0.99956187,0.999778615,0.999836959,0.999274498
0.88,0.265472337,0.531775158,0.762130919,0.889804531,0.950463576,0.977918171,0.990149789,0.995579671,0.997995131,0.999075508,0.999562087,0.999779508,0.999842476,0.999327446
0.89,0.265472337,0.53177516,0.762130924,0.889804536,0.950463581,0.977918178,0.990149798,0.995579685,0.997995157,0.999075569,0.999562271,0.999780285,0.999847387,0.999376131
0.9,0.265472337,0.531775161,0.762130928,0.88980454,0.950463585,0.977918183,0.990149805,0.995579696,0.997995179,0.999075621,0.999562428,0.999780959,0.999851759,0.999420897
0.91,0.265472337,0.531775162,0.762130932,0.889804543,0.950463588,0.977918187,0.990149811,0.995579705,0.997995197,0.999075664,0.999562563,0.999781545,0.999855651,0.99946206
0.92,0.265472337,0.531775163,0.762130935,0.889804546,0.950463591,0.97791819,0.990149816,0.995579713,0.997995212,0.9990757,0.999562677,0.999782054,0.999859115,0.999499908
0.93,0.265472337,0.531775163,0.762130937,0.889804548,0.950463594,0.977918193,0.99014982,0.99557972,0.997995225,0.999075731,0.999562775,0.999782496,0.999862199,0.99953471
0.94,0.265472337,0.531775164,0.762130939,0.88980455,0.950463595,0.977918195,0.990149823,0.995579725,0.997995235,0.999075757,0.999562858,0.999782879,0.999864945,0.99956671
0.95,0.265472337,0.531775164,0.76213094,0.889804551,0.950463597,0.977918197,0.990149826,0.995579729,0.997995244,0.999075778,0.999562929,0.999783213,0.999867389,0.999596133
0.96,0.265472337,0.531775165,0.762130941,0.889804553,0.950463598,0.977918199,0.990149828,0.995579733,0.997995251,0.999075796,0.999562989,0.999783503,0.999869565,0.999623188
0.97,0.265472337,0.531775165,0.762130943,0.889804554,0.950463599,0.9779182,0.990149829,0.995579736,0.997995257,0.999075812,0.999563041,0.999783754,0.999871502,0.999648064
0.98,0.265472337,0.531775165,0.762130943,0.889804554,0.9504636,0.977918201,0.990149831,0.995579739,0.997995262,0.999075824,0.999563085,0.999783973,0.999873226,0.999670938
0.99,0.265472337,0.531775165,0.762130944,0.889804555,0.950463601,0.977918202,0.990149832,0.995579741,0.997995267,0.999075835,0.999563122,0.999784163,0.999874761,0.99969197
1,0.265472337,0.531775165,0.762130945,0.889804556,0.950463601,0.977918203,0.990149833,0.995579742,0.99799527,0.999075844,0.999563154,0.999784328,0.999876127,0.999711308
