F,k₋f,k₋s,ka,k₋a
15.0,15.045128950838492,1.2964325582029421,5.727560527964101,0.42340792339210415
15.1,15.045128954231336,1.3087274845610837,5.7275606193671385,0.4117377751898185
15.2,15.045128957624181,1.321139011827769,5.727560710770178,0.40038928454644684
15.3,15.045128961017026,1.3336682458064388,5.727560802173218,0.38935358580035334
15.4,15.04512896440987,1.3463163027875993,5.72756089357626,0.37862205764901613
15.5,15.045128967802714,1.359084309648275,5.727560984979303,0.36818631641389854
15.6,15.04512897119556,1.3719734039524119,5.727561076382348,0.3580382094909567
15.7,15.045128974588403,1.3849847340522252,5.727561167785394,0.34816980898166544
15.8,15.045128977981248,1.3981194591905128,5.727561259188441,0.3385734054995916
15.9,15.045128981374091,1.4113787496039374,5.72756135059149,0.32924150214767006
16.0,15.045128984766936,1.4247637866272904,5.72756144199454,0.3201668086614824
16.1,15.045128988159782,1.4382757627987397,5.727561533397592,0.31134223571396036
16.2,15.045128991552629,1.4519158819660816,5.727561624800645,0.30276088937706597
16.3,15.045128994945474,1.465685359393997,5.7275617162037005,0.29441606573612
16.4,15.045128998338317,1.4795854218723212,5.727561807606756,0.28630124565257487
16.5,15.045129001731162,1.4936173078253525,5.727561899009814,0.27841008967113473
16.6,15.045129005124007,1.5077822674221817,5.727561990412873,0.2707364330672525
16.7,15.04512900851685,1.5220815626880795,5.727562081815934,0.2632742810311247
16.8,15.045129011909696,1.5365164676169374,5.727562173218995,0.2560178039844299
16.9,15.04512901530254,1.5510882682847695,5.72756226462206,0.24896133302614992
17.0,15.045129018695384,1.565798262964303,5.727562356025125,0.24209935550391226
17.1,15.04512902208823,1.5806477622406383,5.727562447428191,0.23542651070740112
17.2,15.045129025481073,1.5956380891280224,5.727562538831259,0.22893758568046435
17.3,15.045129028873918,1.6107705791877203,5.7275626302343285,0.2226275111486506
17.4,15.045129032266763,1.6260465806470064,5.7275627216373985,0.21649135755899598
17.5,15.045129035659606,1.6414674545192844,5.727562813040471,0.2105243312289574
17.6,15.045129039052451,1.6570345747253492,5.727562904443546,0.20472177060149865
17.7,15.045129042445296,1.6727493282157913,5.727562995846621,0.19907914260338885
17.8,15.04512904583814,1.688613115094572,5.727563087249698,0.19359203910387748
17.9,15.045129049230988,1.7046273487437622,5.727563178652775,0.18825617347097898
18.0,15.045129052623832,1.72079345594947,5.727563270055855,0.18306737722266903
18.1,15.045129056016677,1.7371128770289577,5.727563361458936,0.178021596770389
18.2,15.045129059409522,1.7535870659589665,5.727563452862018,0.17311489025230126
18.3,15.045129062802365,1.7702174905052621,5.727563544265102,0.16834342445383077
18.4,15.04512906619521,1.7870056323534007,5.727563635668188,0.1637034718130837
18.5,15.045129069588054,1.8039529872407427,5.727563727071275,0.15919140750880215
18.6,15.045129072980899,1.821061065089712,5.727563818474363,0.15480370662858553
18.7,15.045129076373744,1.8383313901423257,5.7275639098774525,0.15053694141515853
18.8,15.045129079766587,1.855765501095996,5.727564001280543,0.1463877785885412
18.9,15.045129083159432,1.8733649512406152,5.727564092683637,0.14235297674202607
19.0,15.045129086552276,1.8911313085969552,5.727564184086731,0.13842938380992684
19.1,15.04512908994512,1.90906615605636,5.727564275489827,0.13461393460512555
19.2,15.045129093337966,1.9271710915217792,5.727564366892924,0.13090364842448685
19.3,15.04512909673081,1.9454477280501339,5.727564458296022,0.12729562672027564
19.4,15.045129100123654,1.9638976939960255,5.727564549699122,0.12378705083575522
19.5,15.045129103516501,1.9825226331568222,5.727564641102224,0.12037517980319684
19.6,15.045129106909346,2.0013242049191047,5.727564732505326,0.11705734820258411
19.7,15.045129110302192,2.0203040844065145,5.7275648239084305,0.1138309640793336
19.8,15.045129113695035,2.039463962628998,5.727564915311536,0.11069350691941005
19.9,15.04512911708788,2.058805546633464,5.727565006714643,0.10764252568025194
20.0,15.045129120480725,2.078330559655876,5.727565098117752,0.10467563687596844
20.1,15.045129123873568,2.0980407412747835,5.727565189520863,0.10179052271531547
20.2,15.045129127266414,2.117937847566306,5.727565280923974,0.0989849292909907
20.3,15.045129130659257,2.138023651260594,5.727565372327088,0.09625666481883792
20.4,15.045129134052102,2.1582999418997706,5.727565463730203,0.09360359792558269
20.5,15.045129137444947,2.1787685259973664,5.727565555133318,0.09102365598376133
20.6,15.04512914083779,2.1994312271992764,5.727565646536436,0.08851482349254536
20.7,15.045129144230636,2.2202898864462304,5.727565737939555,0.0860751405031919
20.8,15.04512914762348,2.2413463621378176,5.727565829342675,0.08370270108789404
20.9,15.045129151016328,2.2626025302980586,5.727565920745797,0.08139565185083311
21.0,15.045129154409173,2.2840602847425475,5.7275660121489205,0.07915219048026906
21.1,15.045129157802016,2.3057215372471833,5.727566103552045,0.07697056434054071
21.2,15.045129161194861,2.3275882177185,5.727566194955171,0.07484906910287163
21.3,15.045129164587706,2.3496622743656075,5.727566286358299,0.07278604741391581
21.4,15.04512916798055,2.371945673873773,5.727566377761429,0.07077988760100097
21.5,15.045129171373395,2.3944404015796357,5.727566469164558,0.06882902241305808
21.6,15.045129174766238,2.417148461648097,5.727566560567691,0.06693192779625518
21.7,15.045129178159083,2.4400718772508747,5.727566651970825,0.06508712170337616
21.8,15.045129181551928,2.4632126907467633,5.727566743373959,0.06329316293601693
21.9,15.045129184944772,2.486572963863592,5.727566834777096,0.06154865001869324
22.0,15.045129188337617,2.510154777881923,5.727566926180234,0.05985222010398046
22.1,15.045129191730462,2.5339602338204674,5.7275670175833735,0.05820254790783109
22.2,15.045129195123305,2.5579914526232925,5.727567108986514,0.05659834467423684
22.3,15.045129198516154,2.5822505753487777,5.7275672003896565,0.05503835716842738
22.4,15.045129201908997,2.60673976336037,5.7275672917928,0.05352136669781906
22.5,15.045129205301842,2.631461198519157,5.727567383195946,0.052046188159948346
22.6,15.045129208694688,2.656417083378257,5.727567474599092,0.05061166911664697
22.7,15.04512921208753,2.68160964137905,5.72756756600224,0.04921668889373472
22.8,15.045129215480376,2.707041117049285,5.727567657405389,0.047860157705526915
22.9,15.04512921887322,2.732713776203044,5.727567748808541,0.04654101580347276
23.0,15.045129222266064,2.7586299061426307,5.727567840211693,0.04525823264825892
23.1,15.04512922565891,2.7847918158623344,5.727567931614847,0.04401080610473247
23.2,15.045129229051753,2.8112018362541717,5.727568023018002,0.04279776165901325
23.3,15.045129232444598,2.8378623203155477,5.727568114421159,0.04161815165718467
