t,n
0.0,0.0
0.1,0.0066131935428360355
0.2,0.012854771018796346
0.3,0.018805967802121897
0.4,0.024514135460772135
0.5,0.030007966391944862
0.6,0.03530562394709275
0.7,0.04041962705510985
0.8,0.04536016074559316
0.9,0.050134096278521
1.0,0.05474910647820776
1.1,0.059207757880803694
1.2,0.06352191673641222
1.3,0.06769185412505552
1.4,0.07171865254863177
1.5,0.07561624471514361
1.6,0.0793858825089431
1.7,0.08302733011017865
1.8,0.08654362874905613
1.9,0.08994888568676496
2.0,0.09324310092330518
2.1,0.09642627445867677
2.2,0.09949682636482113
2.3,0.10246805374555021
2.4,0.10534527166740226
2.5,0.10812848013037725
2.6,0.1108176791344752
2.7,0.11341116920723349
2.8,0.11591707806866919
2.9,0.11834548625584637
3.0,0.12069639376876504
3.1,0.12296980060742518
3.2,0.1251657067718268
3.3,0.12728257893933945
3.4,0.12932591811768002
3.5,0.13130716787619534
3.6,0.1332263282148855
3.7,0.13508339913375045
3.8,0.13687838063279018
3.9,0.13861127271200469
4.0,0.14028014548404355
4.1,0.14189101807137489
4.2,0.14345367944400716
4.3,0.14496812960194044
4.4,0.14643436854517472
4.5,0.14785239627370997
4.6,0.14922221278754622
4.7,0.1505438180866834
4.8,0.1518148671604434
4.9,0.15304220358717952
5.0,0.15423338657935343
5.1,0.15538841613696514
5.2,0.15650729226001464
5.3,0.15759001494850194
5.4,0.15863658420242704
5.5,0.15964700002178994
5.6,0.1606212624065906
5.7,0.16155701623333446
5.8,0.1624601441375889
5.9,0.1633372153461976
6.0,0.16418822985916048
6.1,0.1650131876764775
6.2,0.1658120887981487
6.3,0.1665849332241741
6.4,0.16733172095455368
6.5,0.16805245198928742
6.6,0.16874712632837535
6.7,0.16941465122334032
6.8,0.17005554868021688
6.9,0.1706785169901699
7.0,0.17128355615319935
7.1,0.1718706661693052
7.2,0.17243984703848753
7.3,0.17299109876074625
7.4,0.17352442133608142
7.5,0.17403981476449298
7.6,0.17453727904598104
7.7,0.1750168141805455
7.8,0.1754784201681864
7.9,0.1759198705353458
8.0,0.17634559334670002
8.1,0.17675964768413366
8.2,0.17716203354764673
8.3,0.1775527509372392
8.4,0.1779317998529111
8.5,0.1782991802946624
8.6,0.17865489226249315
8.7,0.1789989357564033
8.8,0.17933131077639286
8.9,0.17965201732246186
9.0,0.17996105539461027
9.1,0.18025842499283806
9.2,0.18054412611714532
9.3,0.18081537123576308
9.4,0.18107952650297549
9.5,0.18133659501407554
9.6,0.18158657676906328
9.7,0.18182947176793868
9.8,0.18206528001070174
9.9,0.18229400149735248
10.0,0.18251563622789085
10.1,0.18273018420231693
10.2,0.18293764542063068
10.3,0.18313801988283207
10.4,0.18333130758892113
10.5,0.18351750853889787
10.6,0.18369662273276227
10.7,0.18386865017051432
10.8,0.18403259218410228
10.9,0.1841889389611885
11.0,0.18434134847755423
11.1,0.18448982073319947
11.2,0.18463435572812428
11.3,0.18477495346232864
11.4,0.18491161393581246
11.5,0.18504433714857588
11.6,0.18517312310061879
11.7,0.18529797179194124
11.8,0.18541888322254318
11.9,0.18553585739242473
12.0,0.18564889430158574
12.1,0.1857579939500263
12.2,0.18586315633774642
12.3,0.18596438146474603
12.4,0.18606166933102516
12.5,0.18615501993658384
12.6,0.18624443328142204
12.7,0.18632848008375014
12.8,0.18640939064881148
12.9,0.1864883614199506
13.0,0.18656539239716746
13.1,0.1866404835804621
13.2,0.18671363496983448
13.3,0.1867848465652846
13.4,0.18685411836681248
13.5,0.18692145037441815
13.6,0.18698684258810155
13.7,0.18705029500786274
13.8,0.18711180763370167
13.9,0.18717138046561835
14.0,0.1872290135036128
14.1,0.18728470674768496
14.2,0.18733846019783493
14.3,0.18739027385406265
14.4,0.18744014771636813
14.5,0.18748808178475135
14.6,0.1875340760592123
14.7,0.18757813053975103
14.8,0.18762024522636755
14.9,0.1876604201190618
15.0,0.18769801774625827
15.1,0.18773467123327195
15.2,0.18777041704856232
15.3,0.18780525519212946
15.4,0.18783918566397334
15.5,0.18787220846409394
15.6,0.18790432359249132
15.7,0.1879355310491654
15.8,0.18796583083411628
15.9,0.18799522294734383
16.0,0.18802370738884816
16.1,0.18805128415862926
16.2,0.18807795325668705
16.3,0.18810371468302162
16.4,0.18812856843763293
16.5,0.18815251452052095
16.6,0.18817555293168575
16.7,0.18819768367112727
16.8,0.18821890673884553
16.9,0.18823922213484057
17.0,0.1882586298591123
