,Force (pN),,,,,,,,,,,,,
t (s),0,3,6,9,12,15,18,21,24,27,30,33,36,39
0.3,0.250088507,0.440404431,0.602289996,0.720076454,0.8026904,0.861383981,0.904038251,0.935384516,0.958219977,0.974370406,0.985251103,0.992116842,0.996114475,0.998236444
0.31,0.253302409,0.448477034,0.613304998,0.731777421,0.813666924,0.870912544,0.91182257,0.941395766,0.962601485,0.977370332,0.987167127,0.99324916,0.996728909,0.998541248
0.32,0.256395959,0.456220385,0.623736793,0.742712469,0.823800268,0.879608964,0.918847714,0.946758681,0.966462862,0.979978828,0.98880812,0.994202289,0.997235907,0.998787102
0.33,0.259372092,0.463638113,0.633598763,0.752912859,0.833139309,0.887534469,0.92518046,0.951539106,0.969863843,0.982246115,0.990213257,0.995004499,0.997654237,0.998985406
0.34,0.262233807,0.470734929,0.642906424,0.762411553,0.841732831,0.894747907,0.930883157,0.955797069,0.972857763,0.984216182,0.991416216,0.995679626,0.997999393,0.999145354
0.35,0.264984157,0.477516505,0.651677048,0.771242627,0.849628952,0.9013054,0.936013712,0.959587104,0.975492136,0.985927505,0.992445924,0.996247759,0.998284167,0.999274365
0.36,0.267626233,0.483989355,0.659929313,0.779440752,0.85687466,0.907260111,0.940625665,0.9629586,0.977809205,0.987413701,0.993327215,0.996725824,0.998519117,0.999378421
0.37,0.270163152,0.490160717,0.667682971,0.787040753,0.86351545,0.912662109,0.944768318,0.965956169,0.979846468,0.988704109,0.994081394,0.997128078,0.998712956,0.99946235
0.38,0.272598043,0.496038444,0.674958556,0.794077216,0.869595045,0.917558304,0.948486911,0.968620012,0.981637154,0.989824312,0.99472673,0.997466529,0.998872874,0.999530044
0.39,0.274934037,0.501630899,0.681777107,0.800584182,0.875155193,0.921992453,0.951822828,0.970986281,0.983210676,0.990796605,0.995278885,0.997751285,0.999004807,0.999584644
0.4,0.277174256,0.506946856,0.688159932,0.806594876,0.880235531,0.926005202,0.95481382,0.973087425,0.984593039,0.991640399,0.995751279,0.997990857,0.99911365,0.999628682
0.41,0.279321804,0.511995406,0.694128397,0.812141507,0.884873509,0.929634182,0.957494244,0.974952528,0.985807207,0.992372586,0.99615541,0.99819241,0.999203443,0.999664202
0.42,0.281379758,0.516785872,0.699703742,0.817255103,0.889104347,0.932914119,0.959895297,0.976607614,0.986873448,0.993007863,0.996501122,0.998361974,0.999277521,0.99969285
