t,n
0.0,0.0
0.1,0.02613947029916308
0.2,0.05055405295788254
0.3,0.07335794668028474
0.4,0.09465693217386345
0.5,0.11455670877220553
0.6,0.1331372916210481
0.7,0.1504928770922353
0.8,0.166708474939585
0.9,0.18184870874007303
1.0,0.19599114744616078
1.1,0.20921425070772348
1.2,0.22153477115888426
1.3,0.23307302590859758
1.4,0.2438420726622172
1.5,0.2538754792191213
1.6,0.2632819906967467
1.7,0.27206174094389035
1.8,0.280227110900558
1.9,0.28788673720656865
2.0,0.2950500867517865
2.1,0.30171175617244145
2.2,0.307927579551689
2.3,0.31376271209034007
2.4,0.3192171537883949
2.5,0.32428758627665905
2.6,0.3290055605878427
2.7,0.33344173997666415
2.8,0.3375961244431234
2.9,0.3414687139872205
3.0,0.34505311412608014
3.1,0.3484088975253106
3.2,0.35156448002946766
3.3,0.3545198616385513
3.4,0.35727504235256163
3.5,0.35982578232314716
3.6,0.3621958768793202
3.7,0.36443047384926247
3.8,0.36652957323297397
3.9,0.36849317503045476
4.0,0.3703212792417048
4.1,0.372010812490355
4.2,0.37357478202465444
4.3,0.37505228924641437
4.4,0.37644333415563475
4.5,0.37774791675231556
4.6,0.3789660370364568
4.7,0.38009769500805857
4.8,0.38114021747501764
4.9,0.3821019464574759
5.0,0.38301244069391116
5.1,0.3838717001843234
5.2,0.38467972492871255
5.3,0.38543651492707875
5.4,0.3861420701794219
5.5,0.386796390685742
5.6,0.3873994764460391
5.7,0.38794761791495347
5.8,0.38846792040065725
5.9,0.3889606586853544
6.0,0.389425832769045
6.1,0.389863442651729
6.2,0.39027348833340636
6.3,0.3906559698140772
6.4,0.3910108870937414
6.5,0.391338240172399
6.6,0.39163600536319637
6.7,0.3919078015299259
6.8,0.39216660975455586
6.9,0.3924124300370864
7.0,0.3926452623775175
7.1,0.3928651067758491
7.2,0.39307196323208127
7.3,0.39326583174621393
7.4,0.3934467123182472
7.5,0.3936146049481809
7.6,0.3937695096360152
7.7,0.39391142638175003
7.8,0.39403884744011736
7.9,0.39415392722921827
8.0,0.3942639634621645
8.1,0.39436895613895606
8.2,0.3944689052595929
8.3,0.39456381082407505
8.4,0.39465367283240255
8.5,0.3947384912845753
8.6,0.39481826618059335
8.7,0.39489299752045676
8.8,0.39496268530416545
8.9,0.39502732953171943
9.0,0.3950869302031187
9.1,0.39514148731836335
9.2,0.39519100087745324
9.3,0.3952354631818485
9.4,0.39527312376768603
9.5,0.3953093474272111
9.6,0.39534413416042363
9.7,0.39537748396732375
9.8,0.39540939684791143
9.9,0.3954398728021866
10.0,0.3954689118301493
10.1,0.3954965139317996
10.2,0.39552267910713734
10.3,0.3955474073561627
10.4,0.3955706986788755
10.5,0.3955925530752759
10.6,0.3956129705453638
10.7,0.3956319510891393
10.8,0.39564949470660227
10.9,0.39566560139775275
11.0,0.3956802711625908
11.1,0.39569350400111636
11.2,0.3957052999133295
11.3,0.39571565889923016
11.4,0.3957241759285418
11.5,0.39573146888280186
11.6,0.3957385319689215
11.7,0.3957453651869007
11.8,0.39575196853673944
11.9,0.39575834201843774
12.0,0.3957644856319956
12.1,0.3957703993774131
12.2,0.3957760832546901
12.3,0.3957815372638267
12.4,0.39578676140482283
12.5,0.39579175567767855
12.6,0.3957965200823938
12.7,0.39580105461896864
12.8,0.395805359287403
12.9,0.395809434087697
13.0,0.3958132790198505
13.1,0.39581689408386356
13.2,0.39582027927973623
13.3,0.39582343460746844
13.4,0.39582636006706023
13.5,0.39582905565851156
13.6,0.3958315213818225
13.7,0.39583375723699293
13.8,0.395835763224023
13.9,0.39583753934291255
14.0,0.3958390855936617
14.1,0.39584040197627046
14.2,0.39584148849073875
14.3,0.39584234513706656
14.4,0.395842971915254
14.5,0.39584338595051183
14.6,0.3958437614503309
14.7,0.3958441237719938
14.8,0.39584447291550046
14.9,0.39584480888085083
15.0,0.395845131668045
15.1,0.39584544127708304
15.2,0.3958457377079648
15.3,0.39584602096069027
15.4,0.3958462910352596
15.5,0.3958465479316726
15.6,0.3958467916499295
15.7,0.3958470221900301
15.8,0.3958472395519745
15.9,0.39584744373576264
16.0,0.39584763474139456
16.1,0.3958478125688703
16.2,0.39584797721818976
16.3,0.39584812868935304
16.4,0.3958482669823601
16.5,0.39584839209721084
16.6,0.3958485040339054
16.7,0.3958486027924438
16.8,0.39584868837282594
16.9,0.3958487607750518
17.0,0.3958488199991215
