F,k₋f
20.8,39.61263209847342
20.9,40.007311319352205
21.0,40.40592291430311
21.1,40.808506063412224
21.2,41.21510033713519
21.3,41.62574570018661
21.4,42.04048251546833
21.5,42.45935154803667
21.6,42.88239396910927
21.7,43.30965136011197
21.8,43.74116571676586
21.9,44.17697945321501
22.0,44.61713540619558
22.1,45.06167683924616
22.2,45.51064744696018
22.3,45.96409135928092
22.4,46.42205314583891
22.5,46.88457782033279
22.6,47.35171084495378
22.7,47.82349813485426
22.8,48.29998606266072
22.9,48.7812214630319
23.0,49.26725163726226
23.1,49.75812435793113
23.2,50.253887873598465
23.3,50.75459091354735
23.4,51.26028269257331
23.5,51.771012915822205
23.6,52.28683178367544
23.7,52.807789996684335
23.8,53.33393876055362
23.9,53.86532979117444
24.0,54.40201531970761
24.1,54.94404809771743
24.2,55.491481402356804
24.3,56.044369041603964
24.4,56.60276535955107
24.5,57.16672524174615
24.6,57.736304120587505
24.7,58.31155798077241
24.8,58.892543364800076
24.9,59.47931737852899
25.0,60.071937696790116
25.1,60.6704625690558
25.2,61.27495082516522
25.3,61.88546188110671
25.4,62.502055744858
25.5,63.124793022284535
25.6,63.75373492309623
25.7,64.38894326686413
25.8,65.03048048909668
25.9,65.67840964737636
26.0,66.33279442755817
26.1,66.993699150029
26.2,67.66118877602983
26.3,68.33532891404111
26.4,69.01618582623118
26.5,69.70382643496949
26.6,70.3983183294044
26.7,71.09972977210667
26.8,71.80812970577901
26.9,72.52358776003261
27.0,73.24617425823116
27.1,73.97596022440287
27.2,74.71301739022168
27.3,75.45741820205792
27.4,76.20923582809895
27.5,76.96854416554115
27.6,77.73541784785317
27.7,78.50993225211207
27.8,79.29216350641192
27.9,80.08218849734673
28.0,80.8800848775678
28.1,81.68593107341593
28.2,82.49980629263051
28.3,83.32179053213477
28.4,84.15196458589858
28.5,84.99041005288032
28.6,85.8372093450468
28.7,86.6924456954739
28.8,87.55620316652774
28.9,88.42856665812717
29.0,89.3096219160887
29.1,90.19945554055458
29.2,91.09815499450494
29.3,92.00580861235453
29.4,92.92250560863526
29.5,93.84833608676531
29.6,94.78339104790535
