t,n
0.0,0.0
0.1,0.01760006822906411
0.2,0.03405140439556464
0.3,0.04951795124947954
0.4,0.06413156085914769
0.5,0.07799654358350071
0.6,0.09119856780112376
0.7,0.10380684807742342
0.8,0.11587690393839213
0.9,0.12745579284226818
1.0,0.13858718136341397
1.1,0.14929359874632442
1.2,0.1596151658621962
1.3,0.16956073499071495
1.4,0.17916751361056976
1.5,0.18843913612958496
1.6,0.1973960173708072
1.7,0.20606223778946275
1.8,0.21443779738555166
1.9,0.22252734748138078
2.0,0.23036624844003353
2.1,0.23795544809583302
2.2,0.24529494644877922
2.3,0.25238265984907393
2.4,0.25925355881237766
2.5,0.26591396010058593
2.6,0.27236386371369886
2.7,0.27860326965171645
2.8,0.28462786493185455
2.9,0.29046370011378936
3.0,0.2961254129457058
3.1,0.3016130034276041
3.2,0.30692647155948416
3.3,0.312065817341346
3.4,0.3170258465951311
3.5,0.3218295610863545
3.6,0.3264926534398468
3.7,0.33101512365560803
3.8,0.33539697173363814
3.9,0.3396381976739372
4.0,0.34373880147650515
4.1,0.3476932044051802
4.2,0.3515221394918556
4.3,0.35524080168270145
4.4,0.35884919097771795
4.5,0.3623473073769049
4.6,0.3657351508802625
4.7,0.36901272148779063
4.8,0.37218001919948923
4.9,0.3752307311920608
5.0,0.37818523504553303
5.1,0.38105616384038604
5.2,0.38384351757662
5.3,0.3865472962542348
5.4,0.3891674998732304
5.5,0.3917041284336068
5.6,0.3941571819353642
5.7,0.3965266603785023
5.8,0.39880719950527654
5.9,0.40101180392108815
6.0,0.40315548320607497
6.1,0.4052382373602371
6.2,0.4072600663835745
6.3,0.4092209702760871
6.4,0.4111209490377751
6.5,0.4129600026686382
6.6,0.41473813116867664
6.7,0.4164553345378904
6.8,0.41811076302369926
6.9,0.4196997669165347
7.0,0.4212463147734391
7.1,0.4227504065944124
7.2,0.42421204237945453
7.3,0.4256312221285657
7.4,0.42700794584174573
7.5,0.4283422135189946
7.6,0.42963402516031246
7.7,0.4308833807656992
7.8,0.43209028033515484
7.9,0.43325472386867936
8.0,0.43437439385392546
8.1,0.43544925260638045
8.2,0.4364960734814183
8.3,0.43751485647903887
8.4,0.43850560159924235
8.5,0.4394683088420286
8.6,0.44040297820739766
8.7,0.44130960969534955
8.8,0.44218820330588426
8.9,0.4430387590390018
9.0,0.4438612768947021
9.1,0.44465575687298525
9.2,0.4454221989738512
9.3,0.4461606031973
9.4,0.446865996621278
9.5,0.4475472990644698
9.6,0.44821126725188687
9.7,0.4488579011835294
9.8,0.4494872008593975
9.9,0.4500991662794909
10.0,0.4506937974438098
10.1,0.4512710943523541
10.2,0.4518310570051238
10.3,0.452373685402119
10.4,0.4528989795433395
10.5,0.4534069394287855
10.6,0.45389756505845696
10.7,0.45437085643235386
10.8,0.45482681355047616
10.9,0.45526543641282385
11.0,0.455682162164192
11.1,0.4560849690796105
11.2,0.456477925243543
11.3,0.4568610306559895
11.4,0.45723428531694993
11.5,0.4575976892264244
11.6,0.4579512423844128
11.7,0.4582949447909152
11.8,0.45862879644593163
11.9,0.45895279734946204
12.0,0.45926694750150643
12.1,0.45957124690206475
12.2,0.45986569555113715
12.3,0.4601502934487235
12.4,0.4604250405948238
12.5,0.46068993698943816
12.6,0.46094498263256645
12.7,0.46119017752420877
12.8,0.46142552166436507
12.9,0.4616466792131828
13.0,0.46186174565282984
13.1,0.4620718078344504
13.2,0.4622768657580445
13.3,0.46247691942361213
13.4,0.46267196883115336
13.5,0.462862013980668
13.6,0.46304705487215625
13.7,0.4632270915056179
13.8,0.4634021238810532
13.9,0.463572151998462
14.0,0.4637371758578443
14.1,0.46389719545920016
14.2,0.4640522108025295
14.3,0.4642022218878324
14.4,0.4643472287151088
14.5,0.46448723128435876
14.6,0.4646222295955822
14.7,0.46475222364877916
14.8,0.46487721344394967
14.9,0.4649971989810937
15.0,0.4651121802602113
15.1,0.4652218378125399
15.2,0.46532586841903306
15.3,0.46542739808957695
15.4,0.46552642682417156
15.5,0.4656229546228168
15.6,0.46571698148551277
15.7,0.4658085074122594
15.8,0.4658975324030567
15.9,0.4659840564579047
16.0,0.4660680795768034
16.1,0.46614960175975273
16.2,0.46622862300675283
16.3,0.4663051433178036
16.4,0.466379162692905
16.5,0.4664506811320571
16.6,0.46651969863525994
16.7,0.4665862152025134
16.8,0.4666502308338176
16.9,0.4667117455291725
17.0,0.46677075928857803
